"Imagename","Anomaly Score"
"Image332","0"
"Image333","0"
"Image334","0"
"Image335","0"
"Image336","0"
"Image337","0"
"Image338","0"
"Image339","0"
"Image340","0"
"Image341","0"
"Image342","1"
"Image343","0"
"Image344","0"
"Image345","0"
"Image346","1"
"Image347","0"
"Image348","0"
"Image349","0"
"Image350","0"
"Image351","0"
"Image352","0"
"Image353","0"
"Image354","0"
"Image355","0"
"Image356","0"
"Image357","0"
"Image358","0"
"Image359","0"
"Image360","0"
"Image361","1"
"Image362","1"
"Image363","0"
"Image364","0"
"Image365","1"
"Image366","0"
"Image367","0"
"Image368","0"
"Image369","0"
"Image370","0"
"Image371","0"
"Image372","0"
"Image373","0"
"Image374","0"
"Image375","1"
"Image376","1"
"Image377","0"
"Image378","0"
"Image379","0"
"Image380","0"
"Image381","0"
"Image382","1"
"Image383","1"
"Image384","0"
"Image385","0"
"Image386","0"
"Image387","0"
"Image388","0"
"Image389","1"
"Image390","0"
"Image391","0"
"Image392","0"
"Image393","1"
"Image394","0"
"Image395","0"
"Image396","0"
"Image397","0"
"Image398","0"
"Image399","0"
"Image400","1"
"Image401","0"
"Image402","0"
"Image403","0"
"Image404","0"
"Image405","0"
"Image406","0"
"Image407","0"
"Image408","0"
"Image409","0"
"Image410","1"
"Image411","0"
"Image412","0"
"Image413","1"
"Image414","0"
"Image415","1"
"Image416","0"
"Image417","0"
"Image418","1"
"Image419","0"
"Image420","0"
"Image421","0"
"Image422","0"
"Image423","0"
"Image424","0"
"Image425","0"
"Image426","1"
"Image427","1"
"Image428","0"
"Image429","0"
"Image430","0"
"Image431","0"
"Image432","0"
"Image433","0"
"Image434","0"
"Image435","0"
"Image436","0"
"Image437","1"
"Image438","0"
"Image439","0"
"Image440","0"
"Image441","0"
"Image442","0"
"Image443","0"
"Image444","1"
"Image445","0"
"Image446","0"
"Image447","0"
"Image448","0"
"Image449","0"
"Image450","0"
"Image451","0"
"Image452","0"
"Image453","0"
"Image454","1"
"Image455","1"
"Image456","0"
"Image457","0"
"Image458","0"
"Image459","0"
"Image460","1"
"Image461","0"
"Image462","0"
"Image463","0"
"Image464","0"
"Image465","0"
"Image466","0"
"Image467","0"
"Image468","0"
"Image469","0"
"Image470","0"
"Image471","0"
"Image472","0"
"Image473","0"
"Image474","0"
"Image475","0"
"Image476","0"
"Image477","0"
"Image478","1"
"Image479","0"
"Image480","0"
"Image481","1"
"Image482","0"
"Image483","0"
"Image484","0"
"Image485","0"
"Image486","0"
"Image487","0"
"Image488","0"
"Image489","1"
"Image490","0"
"Image491","0"
"Image492","1"
"Image493","0"
"Image494","0"
"Image495","1"
"Image496","0"
"Image497","0"
"Image498","1"
"Image499","1"
"Image500","0"
"Image501","1"
"Image502","1"
"Image503","0"
"Image504","0"
"Image505","0"
"Image506","0"
"Image507","0"
"Image508","0"
"Image509","0"
"Image510","0"
"Image511","0"
"Image512","0"
"Image513","1"
"Image514","0"
"Image515","0"
"Image516","0"
"Image517","1"
"Image518","1"
"Image519","0"
"Image520","0"
"Image521","0"
"Image522","0"
"Image523","0"
"Image524","0"
"Image525","1"
"Image526","1"
"Image527","0"
"Image528","0"
"Image529","1"
"Image530","0"
"Image531","1"
"Image532","0"
"Image533","0"
"Image534","0"
"Image535","0"
"Image536","0"
"Image537","0"
"Image538","0"
"Image539","1"
"Image540","1"
"Image541","1"
"Image542","0"
"Image543","1"
"Image544","0"
"Image545","0"
"Image546","0"
"Image547","0"
"Image548","0"
"Image549","0"
"Image550","0"
"Image551","0"
"Image552","1"
"Image553","0"
"Image554","0"
"Image555","1"
"Image556","0"
"Image557","1"
"Image558","1"
"Image559","0"
"Image560","0"
"Image561","0"
"Image562","1"
"Image563","0"
"Image564","0"
"Image565","0"
"Image566","0"
"Image567","0"
"Image568","0"
"Image569","0"
"Image570","0"
"Image571","1"
"Image572","0"
"Image573","0"
"Image574","0"
"Image575","0"
"Image576","0"
"Image577","0"
"Image578","0"
"Image579","0"
"Image580","0"
"Image581","0"
"Image582","1"
"Image583","0"
"Image584","1"
"Image585","0"
"Image586","0"
"Image587","0"
"Image588","0"
"Image589","1"
"Image590","0"
"Image591","0"
"Image592","1"
"Image593","0"
"Image594","1"
"Image595","0"
"Image596","1"
"Image597","0"
"Image598","0"
"Image599","0"
"Image600","0"
"Image601","0"
"Image602","0"
"Image603","0"
"Image604","0"
"Image605","0"
"Image606","0"
"Image607","0"
"Image608","0"
"Image609","0"
"Image610","0"
"Image611","0"
"Image612","1"
"Image613","0"
"Image614","0"
"Image615","0"
"Image616","0"
"Image617","0"
"Image618","1"
"Image619","0"
"Image620","0"
"Image621","0"
"Image622","0"
"Image623","0"
"Image624","0"
"Image625","0"
"Image626","1"
"Image627","0"
"Image628","0"
"Image629","1"
"Image630","0"
"Image631","0"
"Image632","0"
"Image633","0"
"Image634","0"
"Image635","0"
"Image636","0"
"Image637","1"
"Image638","1"
"Image639","0"
"Image640","0"
"Image641","0"
"Image642","0"
"Image643","0"
"Image644","0"
"Image645","0"
"Image646","0"
"Image647","1"
"Image648","0"
"Image649","0"
"Image650","0"
"Image651","1"
"Image652","0"
"Image653","0"
"Image654","0"
"Image655","0"
"Image656","0"
"Image657","0"
"Image658","0"
"Image659","0"
"Image660","0"
"Image661","0"
"Image662","0"
"Image663","0"
"Image664","0"
"Image665","0"
"Image666","0"
"Image667","0"
"Image668","0"
"Image669","0"
"Image670","0"
"Image671","0"
"Image672","1"
"Image673","0"
"Image674","0"
"Image675","0"
"Image676","1"
"Image677","0"
"Image678","0"
"Image679","0"
"Image680","0"
"Image681","0"
"Image682","0"
"Image683","1"
"Image684","0"
"Image685","1"
"Image686","0"
"Image687","0"
"Image688","0"
"Image689","0"
"Image690","0"
"Image691","0"
"Image692","0"
"Image693","0"
"Image694","0"
"Image695","0"
"Image696","0"
"Image697","0"
"Image698","0"
"Image699","1"
"Image700","0"
"Image701","0"
"Image702","0"
"Image703","0"
"Image704","0"
"Image705","1"
"Image706","0"
"Image707","0"
"Image708","0"
"Image709","1"
"Image710","0"
"Image711","1"
"Image712","0"
"Image713","0"
"Image714","0"
"Image715","0"
"Image716","1"
"Image717","0"
"Image718","1"
"Image719","0"
"Image720","1"
"Image721","0"
"Image722","0"
"Image723","0"
"Image724","1"
"Image725","1"
"Image726","0"
"Image727","0"
"Image728","0"
"Image729","0"
"Image730","1"
"Image731","0"
"Image732","0"
"Image733","0"
"Image734","0"
"Image735","0"
"Image736","0"
"Image737","0"
"Image738","0"
"Image739","0"
"Image740","0"
"Image741","0"
"Image742","0"
"Image743","1"
"Image744","0"
"Image745","1"
"Image746","0"
"Image747","0"
"Image748","1"
"Image749","1"
"Image750","0"
"Image751","0"
"Image752","0"
"Image753","1"
"Image754","0"
"Image755","0"
"Image756","0"
"Image757","0"
"Image758","1"
"Image759","1"
"Image760","0"
"Image761","0"
"Image762","0"
"Image763","0"
"Image764","0"
"Image765","0"
"Image766","0"
"Image767","0"
"Image768","0"
"Image769","0"
"Image770","0"
"Image771","0"
"Image772","0"
"Image773","0"
"Image774","0"
"Image775","1"
"Image776","1"
"Image777","0"
"Image778","1"
"Image779","0"
"Image780","0"
"Image781","1"
"Image782","0"
"Image783","0"
"Image784","0"
"Image785","0"
"Image786","1"
"Image787","0"
"Image788","0"
"Image789","1"
"Image790","0"
"Image791","0"
"Image792","0"
"Image793","0"
"Image794","0"
"Image795","0"
"Image796","0"
"Image797","0"
"Image798","0"
"Image799","1"
"Image800","0"
"Image801","0"
"Image802","0"
"Image803","0"
"Image804","0"
"Image805","0"
"Image806","0"
"Image807","1"
"Image808","1"
"Image809","0"
"Image810","0"
"Image811","0"
"Image812","0"
"Image813","0"
"Image814","0"
"Image815","0"
"Image816","0"
"Image817","0"
"Image818","0"
"Image819","1"
"Image820","0"
"Image821","0"
"Image822","0"
"Image823","0"
"Image824","0"
"Image825","1"
"Image826","1"
"Image827","0"
"Image828","0"
"Image829","0"
"Image830","0"
"Image831","1"
"Image832","0"
"Image833","0"
"Image834","0"
"Image835","0"
"Image836","1"
"Image837","1"
"Image838","0"
"Image839","0"
"Image840","0"
"Image841","0"
"Image842","0"
"Image843","0"
"Image844","1"
"Image845","0"
"Image846","0"
"Image847","0"
"Image848","0"
"Image849","0"
"Image850","0"
"Image851","0"
"Image852","0"
"Image853","0"
"Image854","0"
"Image855","0"
"Image856","0"
"Image857","0"
"Image858","0"
"Image859","0"
"Image860","0"
"Image861","0"
"Image862","1"
"Image863","1"
"Image864","0"
"Image865","0"
"Image866","0"
"Image867","0"
"Image868","0"
"Image869","0"
"Image870","0"
"Image871","1"
"Image872","0"
"Image873","0"
"Image874","0"
"Image875","0"
"Image876","0"
"Image877","0"
"Image878","0"
"Image879","0"
"Image880","0"
"Image881","0"
"Image882","0"
"Image883","0"
"Image884","0"
"Image885","0"
"Image886","0"
"Image887","1"
"Image888","0"
"Image889","0"
"Image890","0"
"Image891","0"
"Image892","0"
"Image893","0"
"Image894","0"
"Image895","0"
"Image896","0"
"Image897","1"
"Image898","0"
"Image899","0"
"Image900","1"
"Image901","0"
"Image902","0"
"Image903","0"
"Image904","0"
"Image905","0"
"Image906","0"
"Image907","0"
"Image908","0"
"Image909","0"
"Image910","0"
"Image911","0"
"Image912","0"
"Image913","0"
"Image914","0"
"Image915","0"
"Image916","0"
"Image917","0"
"Image918","1"
"Image919","0"
"Image920","0"
"Image921","0"
"Image922","0"
"Image923","1"
"Image924","0"
"Image925","1"
"Image926","0"
"Image927","0"
"Image928","1"
"Image929","0"
"Image930","0"
"Image931","0"
"Image932","0"
"Image933","0"
"Image934","0"
"Image935","0"
"Image936","0"
"Image937","1"
"Image938","0"
"Image939","0"
"Image940","0"
"Image941","0"
"Image942","0"
"Image943","0"
"Image944","0"
"Image945","1"
"Image946","1"
"Image947","0"
"Image948","0"
"Image949","0"
"Image950","0"
"Image951","0"
"Image952","1"
"Image953","1"
"Image954","1"
"Image955","1"
"Image956","0"
"Image957","0"
"Image958","0"
"Image959","0"
"Image960","0"
"Image961","0"
"Image962","1"
"Image963","0"
"Image964","1"
"Image965","1"
"Image966","1"
"Image967","0"
"Image968","1"
"Image969","0"
"Image970","0"
"Image971","0"
"Image972","0"
"Image973","0"
"Image974","1"
"Image975","0"
"Image976","0"
"Image977","0"
"Image978","1"
"Image979","0"
"Image980","0"
"Image981","0"
"Image982","0"
"Image983","0"
"Image984","0"
"Image985","0"
"Image986","1"
"Image987","0"
"Image988","1"
"Image989","0"
"Image990","0"
"Image991","0"
"Image992","1"
"Image993","1"
"Image994","0"
"Image995","1"
"Image996","0"
"Image997","0"
"Image998","0"
"Image999","0"
"Image1000","0"
"Image1001","0"
"Image1002","0"
"Image1003","0"
"Image1004","0"
"Image1005","0"
"Image1006","0"
"Image1007","0"
"Image1008","0"
"Image1009","1"
"Image1010","0"
"Image1011","0"
"Image1012","1"
"Image1013","0"
"Image1014","0"
"Image1015","1"
"Image1016","0"
"Image1017","1"
"Image1018","0"
"Image1019","1"
"Image1020","0"
"Image1021","0"
"Image1022","0"
"Image1023","1"
"Image1024","0"
"Image1025","0"
"Image1026","0"
"Image1027","0"
"Image1028","0"
"Image1029","0"
"Image1030","0"
"Image1031","0"
"Image1032","1"
"Image1033","0"
"Image1034","0"
"Image1035","0"
"Image1036","0"
"Image1037","1"
"Image1038","0"
"Image1039","0"
"Image1040","0"
"Image1041","0"
"Image1042","0"
"Image1043","0"
"Image1044","0"
"Image1045","0"
"Image1046","0"
"Image1047","0"
"Image1048","0"
"Image1049","0"
"Image1050","0"
"Image1051","0"
"Image1052","0"
"Image1053","0"
"Image1054","1"
"Image1055","0"
"Image1056","0"
"Image1057","0"
"Image1058","0"
"Image1059","1"
"Image1060","1"
"Image1061","0"
"Image1062","1"
"Image1063","0"
"Image1064","0"
"Image1065","0"
"Image1066","0"
"Image1067","0"
"Image1068","0"
"Image1069","1"
"Image1070","0"
"Image1071","0"
"Image1072","0"
"Image1073","0"
"Image1074","0"
"Image1075","0"
"Image1076","0"
"Image1077","0"
"Image1078","0"
"Image1079","0"
"Image1080","0"
"Image1081","1"
"Image1082","0"
"Image1083","0"
"Image1084","0"
"Image1085","0"
"Image1086","1"
"Image1087","0"
"Image1088","1"
"Image1089","0"
"Image1090","0"
"Image1091","0"
"Image1092","0"
"Image1093","0"
"Image1094","1"
"Image1095","0"
"Image1096","0"
"Image1097","0"
"Image1098","0"
"Image1099","0"
"Image1100","0"
"Image1101","0"
"Image1102","0"
"Image1103","0"
"Image1104","1"
"Image1105","1"
"Image1106","1"
"Image1107","1"
"Image1108","1"
"Image1109","0"
"Image1110","0"
"Image1111","0"
"Image1112","0"
"Image1113","0"
"Image1114","1"
"Image1115","0"
"Image1116","0"
"Image1117","0"
"Image1118","0"
"Image1119","0"
"Image1120","0"
"Image1121","0"
"Image1122","0"
"Image1123","0"
"Image1124","0"
"Image1125","1"
"Image1126","0"
"Image1127","0"
"Image1128","0"
"Image1129","0"
"Image1130","0"
"Image1131","0"
"Image1132","0"
"Image1133","0"
"Image1134","0"
"Image1135","0"
"Image1136","1"
"Image1137","1"
"Image1138","0"
"Image1139","0"
"Image1140","1"
"Image1141","0"
"Image1142","0"
"Image1143","0"
"Image1144","0"
"Image1145","1"
"Image1146","0"
"Image1147","0"
"Image1148","0"
"Image1149","0"
"Image1150","0"
"Image1151","0"
"Image1152","0"
"Image1153","0"
"Image1154","1"
"Image1155","0"
"Image1156","0"
"Image1157","0"
"Image1158","0"
"Image1159","0"
"Image1160","0"
"Image1161","0"
"Image1162","1"
"Image1163","1"
"Image1164","0"
"Image1165","0"
"Image1166","0"
"Image1167","0"
"Image1168","1"
"Image1169","0"
"Image1170","0"
"Image1171","0"
"Image1172","1"
"Image1173","0"
"Image1174","0"
"Image1175","0"
"Image1176","0"
"Image1177","0"
"Image1178","0"
"Image1179","0"
"Image1180","0"
"Image1181","1"
"Image1182","0"
"Image1183","0"
"Image1184","0"
"Image1185","0"
"Image1186","0"
"Image1187","1"
"Image1188","0"
"Image1189","0"
"Image1190","0"
"Image1191","1"
"Image1192","0"
"Image1193","0"
"Image1194","1"
"Image1195","0"
"Image1196","1"
"Image1197","0"
"Image1198","0"
"Image1199","0"
"Image1200","0"
"Image1201","0"
"Image1202","1"
"Image1203","0"
"Image1204","0"
"Image1205","0"
"Image1206","1"
"Image1207","0"
"Image1208","0"
"Image1209","0"
"Image1210","1"
"Image1211","1"
"Image1212","0"
"Image1213","0"
"Image1214","0"
"Image1215","0"
"Image1216","0"
"Image1217","0"
"Image1218","0"
"Image1219","0"
"Image1220","0"
"Image1221","0"
"Image1222","0"
"Image1223","0"
"Image1224","0"
"Image1225","0"
"Image1226","0"
"Image1227","0"
"Image1228","0"
"Image1229","0"
"Image1230","0"
"Image1231","0"
"Image1232","0"
"Image1233","1"
"Image1234","0"
"Image1235","0"
"Image1236","1"
"Image1237","1"
"Image1238","1"
"Image1239","0"
"Image1240","0"
"Image1241","0"
"Image1242","0"
"Image1243","0"
"Image1244","0"
"Image1245","0"
"Image1246","0"
"Image1247","1"
"Image1248","0"
"Image1249","0"
"Image1250","0"
"Image1251","0"
"Image1252","0"
"Image1253","0"
"Image1254","0"
"Image1255","0"
"Image1256","0"
"Image1257","0"
"Image1258","0"
"Image1259","0"
"Image1260","0"
"Image1261","0"
"Image1262","0"
"Image1263","0"
"Image1264","1"
"Image1265","1"
"Image1266","1"
"Image1267","0"
"Image1268","1"
"Image1269","0"
"Image1270","0"
"Image1271","0"
"Image1272","1"
"Image1273","1"
"Image1274","0"
"Image1275","0"
"Image1276","0"
"Image1277","0"
"Image1278","1"
"Image1279","0"
"Image1280","1"
"Image1281","0"
"Image1282","0"
"Image1283","0"
"Image1284","0"
"Image1285","0"
"Image1286","0"
"Image1287","1"
"Image1288","0"
"Image1289","0"
"Image1290","0"
"Image1291","1"
"Image1292","0"
"Image1293","0"
"Image1294","0"
"Image1295","0"
"Image1296","0"
"Image1297","1"
"Image1298","0"
"Image1299","0"
"Image1300","0"
"Image1301","0"
"Image1302","0"
"Image1303","1"
"Image1304","0"
"Image1305","1"
"Image1306","0"
"Image1307","1"
"Image1308","0"
"Image1309","0"
"Image1310","1"
"Image1311","0"
"Image1312","0"
"Image1313","0"
"Image1314","0"
"Image1315","0"
"Image1316","0"
"Image1317","0"
"Image1318","1"
"Image1319","0"
"Image1320","0"
"Image1321","0"
"Image1322","0"
"Image1323","0"
"Image1324","0"
"Image1325","0"
"Image1326","0"
"Image1327","0"
"Image1328","0"
"Image1329","0"
"Image1330","0"
"Image1331","0"
"Image1332","0"
"Image1333","0"
"Image1334","0"
"Image1335","0"
"Image1336","0"
"Image1337","0"
"Image1338","0"
"Image1339","0"
"Image1340","0"
"Image1341","0"
"Image1342","0"
"Image1343","0"
"Image1344","0"
"Image1345","0"
"Image1346","0"
"Image1347","0"
"Image1348","0"
"Image1349","0"
"Image1350","0"
"Image1351","0"
"Image1352","0"
"Image1353","0"
"Image1354","0"
"Image1355","0"
"Image1356","0"
"Image1357","1"
"Image1358","0"
"Image1359","0"
"Image1360","0"
"Image1361","0"
"Image1362","0"
"Image1363","1"
"Image1364","1"
"Image1365","1"
"Image1366","0"
"Image1367","0"
"Image1368","0"
"Image1369","0"
"Image1370","0"
"Image1371","1"
"Image1372","1"
"Image1373","1"
"Image1374","0"
"Image1375","0"
"Image1376","0"
"Image1377","1"
"Image1378","0"
"Image1379","0"
"Image1380","1"
"Image1381","0"
"Image1382","0"
"Image1383","0"
"Image1384","1"
"Image1385","0"
"Image1386","0"
"Image1387","0"
"Image1388","0"
"Image1389","0"
"Image1390","0"
"Image1391","1"
"Image1392","0"
"Image1393","0"
"Image1394","0"
"Image1395","0"
"Image1396","0"
"Image1397","0"
"Image1398","0"
"Image1399","0"
"Image1400","0"
"Image1401","0"
"Image1402","1"
"Image1403","0"
"Image1404","0"
"Image1405","1"
"Image1406","0"
"Image1407","0"
"Image1408","0"
"Image1409","0"
"Image1410","0"
"Image1411","0"
"Image1412","0"
"Image1413","0"
"Image1414","0"
"Image1415","0"
"Image1416","1"
"Image1417","0"
"Image1418","0"
"Image1419","0"
"Image1420","0"
"Image1421","0"
"Image1422","0"
"Image1423","0"
"Image1424","1"
"Image1425","1"
"Image1426","0"
"Image1427","0"
"Image1428","0"
"Image1429","0"
"Image1430","0"
"Image1431","0"
"Image1432","0"
"Image1433","1"
"Image1434","0"
"Image1435","1"
"Image1436","0"
"Image1437","0"
"Image1438","0"
"Image1439","0"
"Image1440","0"
"Image1441","0"
"Image1442","0"
"Image1443","0"
"Image1444","0"
"Image1445","1"
"Image1446","1"
"Image1447","0"
"Image1448","0"
"Image1449","1"
"Image1450","0"
"Image1451","0"
"Image1452","1"
"Image1453","0"
"Image1454","0"
"Image1455","1"
"Image1456","0"
"Image1457","0"
"Image1458","0"
"Image1459","0"
"Image1460","0"
"Image1461","1"
"Image1462","0"
"Image1463","0"
"Image1464","0"
"Image1465","1"
"Image1466","0"
"Image1467","1"
"Image1468","0"
"Image1469","0"
"Image1470","1"
"Image1471","0"
"Image1472","0"
"Image1473","0"
"Image1474","0"
"Image1475","0"
"Image1476","0"
"Image1477","0"
"Image1478","1"
"Image1479","0"
"Image1480","0"
"Image1481","1"
"Image1482","0"
"Image1483","0"
"Image1484","0"
"Image1485","1"
"Image1486","1"
"Image1487","0"
"Image1488","0"
"Image1489","0"
"Image1490","0"
"Image1491","1"
"Image1492","0"
"Image1493","0"
"Image1494","1"
"Image1495","1"
"Image1496","1"
"Image1497","0"
"Image1498","0"
"Image1499","0"
"Image1500","0"
"Image1501","0"
"Image1502","0"
"Image1503","0"
"Image1504","0"
"Image1505","0"
"Image1506","0"
"Image1507","0"
"Image1508","0"
"Image1509","0"
"Image1510","0"
"Image1511","0"
"Image1512","0"
"Image1513","0"
"Image1514","0"
"Image1515","1"
"Image1516","0"
"Image1517","0"
"Image1518","0"
"Image1519","1"
"Image1520","0"
"Image1521","1"
"Image1522","0"
"Image1523","1"
"Image1524","0"
"Image1525","0"
"Image1526","1"
"Image1527","1"
"Image1528","1"
"Image1529","0"
"Image1530","0"
"Image1531","0"
"Image1532","0"
"Image1533","0"
"Image1534","0"
"Image1535","1"
"Image1536","0"
"Image1537","0"
"Image1538","1"
"Image1539","0"
"Image1540","1"
"Image1541","0"
"Image1542","0"
"Image1543","0"
"Image1544","0"
"Image1545","0"
"Image1546","0"
"Image1547","1"
"Image1548","0"
"Image1549","0"
"Image1550","0"
"Image1551","1"
"Image1552","1"
"Image1553","0"
"Image1554","0"
"Image1555","0"
"Image1556","1"
"Image1557","0"
"Image1558","0"
"Image1559","0"
"Image1560","1"
"Image1561","0"
"Image1562","1"
"Image1563","0"
"Image1564","0"
"Image1565","0"
"Image1566","0"
"Image1567","0"
"Image1568","0"
"Image1569","0"
"Image1570","0"
"Image1571","1"
"Image1572","0"
"Image1573","0"
"Image1574","0"
"Image1575","0"
"Image1576","0"
"Image1577","0"
"Image1578","0"
"Image1579","0"
"Image1580","0"
"Image1581","0"
"Image1582","0"
"Image1583","0"
"Image1584","0"
"Image1585","0"
"Image1586","1"
"Image1587","1"
"Image1588","1"
"Image1589","0"
"Image1590","0"
"Image1591","0"
"Image1592","0"
"Image1593","0"
"Image1594","0"
"Image1595","1"
"Image1596","0"
"Image1597","1"
"Image1598","0"
"Image1599","0"
"Image1600","1"
"Image1601","0"
"Image1602","1"
"Image1603","1"
"Image1604","1"
"Image1605","1"
"Image1606","0"
"Image1607","0"
"Image1608","0"
"Image1609","0"
"Image1610","0"
"Image1611","0"
"Image1612","0"
"Image1613","0"
"Image1614","0"
"Image1615","1"
"Image1616","0"
"Image1617","0"
"Image1618","0"
"Image1619","1"
"Image1620","0"
"Image1621","0"
"Image1622","0"
"Image1623","1"
"Image1624","0"
"Image1625","1"
"Image1626","0"
"Image1627","0"
"Image1628","0"
"Image1629","0"
"Image1630","0"
"Image1631","1"
"Image1632","0"
"Image1633","0"
"Image1634","0"
"Image1635","0"
"Image1636","0"
"Image1637","0"
"Image1638","1"
"Image1639","0"
"Image1640","0"
"Image1641","1"
"Image1642","0"
"Image1643","0"
"Image1644","0"
"Image1645","0"
"Image1646","1"
"Image1647","0"
"Image1648","0"
"Image1649","0"
"Image1650","0"
"Image1651","0"
"Image1652","0"
"Image1653","0"
"Image1654","0"
"Image1655","0"
"Image1656","1"
"Image1657","0"
"Image1658","0"
"Image1659","0"
"Image1660","0"
"Image1661","0"
"Image1662","0"
"Image1663","0"
