"Imagename","att1","att2","att3","att4","att5","att6","att7","att8","att9","att10","att11","att12","att13","att14","att15","att16","att17","att18","att19","att20","att21","att22","att23","att24","att25","att26","att27","att28","att29","att30","att31","att32","att33","att34","att35","att36","att37","att38","att39","att40","att41","att42","att43","att44","att45","att46","att47","att48","att49","att50","att51","att52","att53","att54","att55","att56","att57","att58","att59","att60","att61","att62","att63","att64","att65","att66","att67","att68","att69","att70","att71","att72","att73","att74","att75","att76","att77","att78","att79","att80","att81","att82","att83","att84","att85","att86","att87","att88","att89","att90","att91","att92","att93","att94","att95","att96","att97","att98","att99","att100"
"Image11","1","0","1","0","0","1","0","1","0","1","1","0","0","1","1","1","0","1","1","0","1","1","0","1","0","0","1","0","1","1","1","0","0","1","1","0","0","1","0","0","0","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","0","0","0","1","1","0","1","1","0","0","0","0","1","0","1","0","1","0","1","1","0","0","1","0","1","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","1"
"Image12","1","0","1","1","1","0","0","0","0","0","0","0","0","0","1","1","0","1","1","1","1","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1","1","0","1","0","1","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","1","1","0","1","1","1","0","0","0","1","1","1","1","0","0","1","1","0","1","0","1","0","1","0","0","1","1","0","0","1","0","0"
"Image13","0","1","1","0","0","1","1","0","1","0","1","1","1","1","0","0","1","1","1","0","0","1","1","0","0","1","0","1","1","0","1","0","0","1","1","1","0","0","1","0","1","1","1","1","0","1","0","0","1","1","0","1","0","1","0","1","0","1","1","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","0","1","1","0","1","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","1","1","1","1","0","0"
"Image14","0","1","0","1","1","0","1","0","0","0","1","0","0","0","1","1","1","0","1","1","1","1","1","1","0","0","1","1","0","0","1","0","1","0","0","0","0","0","1","0","1","0","1","0","1","0","1","0","0","0","1","1","1","0","1","1","1","1","0","0","0","1","1","0","1","1","1","1","0","0","0","0","0","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","0","1","0","0","0","0"
"Image15","0","1","0","1","1","1","1","1","1","1","0","0","0","1","1","0","0","1","1","0","0","1","0","0","0","0","1","1","1","0","1","1","1","0","1","0","0","1","0","1","1","1","1","1","0","0","1","1","1","1","1","0","0","0","0","1","0","0","1","0","1","0","0","1","1","0","1","0","1","0","0","1","1","1","1","1","0","1","1","1","0","0","0","1","0","1","0","1","0","0","0","1","1","0","0","1","0","1","0","1"
"Image16","0","0","1","1","1","0","0","1","1","0","1","0","0","1","1","0","1","1","0","1","1","1","1","1","1","0","1","1","0","0","0","0","0","1","1","0","0","1","1","1","0","1","1","1","0","1","0","1","1","0","0","0","1","0","1","0","1","1","0","0","0","0","0","0","1","1","1","0","1","1","0","1","0","0","0","1","0","1","1","0","1","1","1","1","0","0","1","1","1","0","0","1","0","1","1","0","0","0","1","1"
"Image17","1","1","1","0","1","0","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","1","1","1","0","0","0","1","0","1","1","1","1","1","0","1","0","0","1","0","0","0","0","1","0","1","1","0","0","1","1","1","1","0","1","1","1","0","0","0","0","1","0","1","0","1","0","1","0","1","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","1","1","1","0","1","0","0","1","1","1","1"
"Image18","0","1","1","0","0","0","1","1","0","0","1","1","0","1","1","1","0","0","1","0","0","1","1","0","1","1","1","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","1","1","0","1","1","1","1","1","0","1","1","1","1","0","1","1","0","1","1","1","1","0","0","1","1","1","1","1","1","0","1","1","1","1","1","0","0","0","1","0","1","0","0","0","0","1","0","1","1","0","0","0"
"Image19","1","0","1","1","1","1","1","0","1","1","1","0","0","1","1","0","1","1","1","0","0","1","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","1","1","1","1","1","1","1","0","0","1","1","0","0","0","0","1","0","0","0","1","1","1","0","1","0","1","0","0","0","1","1","1","0","1","1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","1","1","0","1","0","0","1","1","0"
"Image20","0","0","0","0","1","1","1","0","1","1","0","0","1","0","1","0","0","0","0","1","1","0","1","1","1","1","1","1","0","1","0","1","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","1","0","1","1","1","1","1","1","1","0","0","0","1","1","0","0","0","0","1","1","0","1","1","0","1","1","1","1","0","0","1","1","1","0","0","0","0","0","1","1","1","1","1","1","1","0","1","0","1","0","1","0","1"
"Image21","0","0","0","1","0","0","0","0","0","1","0","1","0","0","1","1","0","0","0","0","0","0","0","1","1","1","1","1","1","1","0","1","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","1","1","0","1","0","0","1","1","0","1","0","1","0","0","1","0","1","1","1","1","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","1","1","0","0","1","1","0","1","1","0","1","1","0"
"Image22","1","1","1","0","0","1","1","1","1","1","0","1","0","1","1","1","1","0","0","1","0","1","1","1","0","0","1","1","1","0","1","0","1","0","1","0","1","1","0","0","1","0","0","1","1","0","0","0","1","1","1","0","0","1","1","0","1","0","1","0","0","0","0","1","0","0","0","1","0","0","1","1","1","0","1","1","1","0","0","0","1","0","0","0","1","1","0","0","1","0","0","0","1","0","1","1","0","0","1","1"
"Image23","0","0","1","1","0","0","1","1","0","1","1","0","0","1","1","1","0","0","0","1","0","0","0","1","0","0","1","1","0","1","0","1","0","0","1","0","1","1","0","0","0","1","0","1","0","1","1","1","1","1","0","1","0","1","1","1","1","0","0","0","1","0","0","1","1","0","1","1","0","0","0","1","0","1","0","1","0","1","0","1","0","0","1","1","0","1","0","1","0","0","0","1","1","1","0","0","0","1","0","1"
"Image24","1","0","1","1","1","1","0","1","0","1","1","0","0","0","1","0","1","1","0","1","1","0","0","1","1","0","1","1","0","1","0","1","1","0","1","1","0","1","1","1","0","0","1","0","0","1","1","1","1","0","0","1","0","1","1","1","0","1","0","1","0","0","0","1","1","1","0","1","1","0","1","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","0","1","0","1","1","0","1","0","0","0","0","1","0","0"
"Image25","1","1","0","0","1","0","1","0","0","1","1","1","0","1","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","0","1","1","1","0","1","1","1","1","0","0","1","1","1","1","0","0","1","0","0","0","1","0","0","0","1","1","0","1","0","0","1","0","0","0","1","1","1","0","0","1","0","1","0","0","1","0","1","1","0","1","0","0","1","1","1","1","0","0"
"Image26","0","1","0","0","0","1","0","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","1","0","0","0","0","0","1","1","1","1","0","0","0","1","1","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","0","1","1","0","1","0","1","0","1","0","0","1","1","1","0","0","0","1","0","0","0","1","0","1","1","0","1","0","0","0","1","0","1","1","0"
"Image27","1","0","1","1","1","1","0","1","0","0","1","0","1","1","1","1","0","1","1","1","0","1","0","0","1","1","1","1","0","1","1","1","1","0","1","0","1","1","1","0","1","1","1","1","1","0","0","0","1","1","0","1","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","1","0","1","1","0","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0"
"Image28","1","0","1","0","0","1","1","0","0","0","1","0","0","0","1","0","1","1","1","0","1","1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","1","0","0","1","0","1","0","1","1","0","1","1","0","0","1","0","0","0","0","1","1","1","0","0","1","0","1","1","0","0","0","0","1","0","0","0","1","0","0","1","1","1","1","0","0","0","0","0","0","1","0","1","0","0","1","0","1","1","0"
"Image29","1","1","1","1","0","1","0","1","0","0","1","0","1","1","1","1","0","1","0","0","1","0","0","0","1","0","1","1","0","0","0","0","1","0","0","0","1","0","1","1","1","0","0","1","1","0","0","1","1","1","0","0","1","1","1","0","0","0","0","1","0","0","1","0","1","0","0","1","0","1","1","0","1","1","1","0","1","0","1","0","1","0","0","1","0","0","1","0","1","0","0","1","1","1","1","0","0","0","0","0"
"Image30","0","0","0","0","1","0","1","1","0","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","1","1","1","0","0","1","0","1","0","1","0","1","0","0","0","0","0","1","0","1","0","1","1","0","1","0","1","0","0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","1","1","1","0","1","1","1","0","1","1","0","0","0","1","1","1","0","1","1","1","0","0","1","1","0"
"Image31","1","0","1","0","1","1","1","0","0","1","1","1","1","1","0","1","0","1","1","0","1","1","0","0","1","0","1","1","1","1","0","0","0","1","0","1","1","0","1","1","0","1","0","1","1","0","0","1","0","1","0","1","0","1","0","0","1","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","1","1","0","1","1","0","0","0","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","0","1","0","0"
"Image32","1","0","0","0","1","0","0","1","0","1","0","1","1","0","1","0","0","1","0","0","0","0","1","0","1","0","0","1","0","1","0","1","0","1","0","0","0","1","0","0","1","0","0","1","1","1","1","1","0","0","0","0","1","1","1","1","1","1","1","1","0","0","0","1","0","1","0","1","1","1","1","0","1","1","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","1","1"
"Image33","0","0","0","1","0","0","0","0","0","1","1","0","1","0","1","1","1","1","1","1","0","1","0","0","1","1","1","0","1","1","0","1","1","0","1","0","0","1","1","1","0","1","1","0","0","1","1","0","1","1","1","0","0","1","1","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","1","1","1","0","1","1","0","1","0","1","1","0","0","0","1","0","1","1","0","1","1","0","1","1","0","0","1","1"
"Image34","0","1","1","0","1","0","0","1","1","1","1","1","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","0","1","1","1","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1","1","1","1","1","0","1","0","1","1","1","1","0","1","1","1","1","0","1","0","0","0","1","0","1","1","1","1","1","0","1","1","0","0","0","0","0","1","1","0","1","0","0","1","0","0","1","1","1"
"Image35","0","1","1","0","1","0","0","0","0","0","1","1","0","1","1","0","1","0","0","0","0","1","0","1","0","0","1","1","1","0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","1","0","1","0","1","1","1","1","0","1","0","0","0","0","1","1","0","0","0","1","0","0","1","0","1","0","1","1","1","1","1","1","1","0","1","1","0","0","1","1","0","0","1","1","0","1","1","1","1","0","1","0","1"
"Image36","1","0","1","0","1","0","1","1","0","0","1","0","1","1","1","1","1","0","0","0","1","1","1","0","1","0","1","1","0","1","1","0","0","0","1","0","1","1","1","1","0","1","0","0","0","0","1","1","0","0","1","1","0","1","1","0","0","1","0","0","0","1","1","1","1","1","1","0","0","1","0","1","1","0","1","1","0","1","1","1","0","1","1","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","1","1"
"Image37","1","1","0","1","0","0","1","1","1","1","1","0","0","1","0","0","1","1","0","0","0","0","1","1","1","0","1","1","0","1","0","1","1","0","1","0","0","0","1","0","1","1","0","0","1","0","1","0","0","0","0","0","0","0","1","1","1","1","1","0","1","1","0","0","1","0","1","1","1","1","0","0","0","1","0","0","0","1","1","1","0","1","1","1","0","1","1","0","1","0","1","1","1","1","1","0","0","0","1","1"
"Image38","1","1","1","0","1","0","1","0","0","0","1","0","1","1","0","0","1","0","1","0","1","0","1","1","1","1","1","1","0","1","0","1","0","1","1","1","0","1","1","1","0","1","0","1","0","1","1","0","0","0","0","1","0","1","0","1","1","1","0","1","1","0","1","1","1","1","1","0","1","0","1","1","1","1","1","1","0","1","1","0","1","1","1","0","0","1","1","0","0","0","0","0","1","0","1","1","0","0","0","0"
"Image39","0","1","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","1","0","1","1","1","0","1","1","1","1","0","1","0","1","0","1","0","1","1","0","1","0","0","0","1","0","0","0","0","1","1","0","1","1","1","1","0","0","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","1","0","0","1","0","0","0","1","1","1","1","0","1","1","0","0","1","0","0","1","0","1","0","0","0","0","0","1","0"
"Image40","0","1","1","1","1","0","1","1","0","1","1","1","0","1","1","0","0","1","0","1","1","1","0","1","0","0","1","0","0","0","0","1","1","0","1","1","0","0","0","0","1","0","0","1","0","1","1","1","0","1","0","0","1","1","0","0","1","0","1","0","1","1","1","1","0","0","1","1","1","0","0","1","0","1","0","0","0","1","1","1","1","0","1","1","1","1","1","0","0","0","0","1","1","0","1","1","1","1","0","0"
"Image41","0","0","1","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","1","0","1","1","0","1","0","1","0","0","1","1","1","0","1","0","1","1","0","1","1","0","0","1","0","0","0","0","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","0","1","1","0","0","0","1","1","0","0","1","1","1","0","1","1","1","1","1","1","1","0","0","1","1"
"Image42","1","0","0","0","1","1","0","1","1","1","1","0","0","1","1","0","1","1","0","1","1","0","0","0","1","1","1","0","1","1","1","1","1","0","1","0","0","0","1","0","1","1","1","1","1","0","0","0","0","0","0","1","1","0","0","1","0","1","0","0","0","1","1","0","1","0","0","0","0","1","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","1"
"Image43","0","0","1","1","0","1","1","0","1","0","1","0","0","1","1","1","0","0","0","0","0","0","1","1","0","1","1","0","0","1","0","1","1","0","0","0","0","1","1","1","0","1","0","1","1","1","1","1","0","1","0","1","1","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","0","1","1","1","1","0","1","1","0","1","0","1","1","0","1","0","1","1","1","0","0","1","0","1","1","0","1","1","1","0","1","0"
"Image44","0","1","0","1","0","1","1","0","1","0","1","1","1","0","1","1","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","1","0","1","0","1","1","1","1","1","1","0","0","1","1","1","1","1","0","0","1","0","1","1","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","0","0","1","1","1","0","1","1","1","1","0","0","1","1","0","1","0","0","1","1","0","0","0","1","0","0","0","1","0","1"
"Image45","0","1","1","1","0","1","0","1","0","1","1","0","1","1","1","0","0","1","0","0","0","1","0","0","1","1","1","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","1","0","1","0","1","1","0","1","1","0","1","1","0","0","1","0","1","0","1","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0"
"Image46","1","0","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","1","1","1","1","1","0","1","1","0","0","0","1","1","0","1","0","1","1","0","0","1","1","1","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","1","1","1","0","0","0","1","1","0","0","1","0","1","0","0","1","1","1","1","1","0","1","1","1"
"Image47","1","0","0","0","1","1","0","1","1","0","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","1","0","0","1","1","0","1","1","0","1","1","1","1","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","1","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","1","0","1","1","1","0","0","0","1","1","1","0","1","0","1","1","1","0","0","0","1","1","1","0","1","1","0","1","0","1"
"Image48","0","0","0","0","1","1","1","0","0","0","1","0","1","1","1","1","0","1","0","1","0","1","1","1","0","1","1","0","1","1","1","1","1","0","1","1","0","1","0","0","1","0","1","0","0","1","1","0","1","1","1","1","0","1","0","1","0","0","1","0","0","1","0","0","0","0","1","1","1","1","0","1","0","0","1","1","1","1","1","1","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Image49","0","0","0","1","0","0","0","1","0","0","1","1","1","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","0","0","0","0","0","0","1","0","1","1","0","1","0","0","0","1","1","1","0","1","1","0","0","0","1","0","1","1","1","1","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","1","0","1","1","1","0","0","1","0","0","0","1","0","0","0","1","1","1","1","1","0","0","0","0","1","0"
"Image50","0","0","0","0","1","1","1","1","0","1","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","1","0","0","1","1","1","0","1","0","0","0","1","0","1","1","1","0","1","1","1","0","0","0","0","0","1","0","1","0","1","0","1","1","0","1","0","0","1","0","0","1","0","1","1","1","1","0","1","1","0","0","0","0","0","0","1","1","1","1","0","0","1","0"
"Image51","1","0","0","0","0","1","1","1","0","1","1","0","1","1","1","0","0","0","0","1","1","0","0","0","0","1","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","1","0","0","1","0","0","1","1","0","1","1","1","0","1","0","1","0","1","1","1","1","0","0","1","1","1","1","1","0","1","1","0","0","0","0","1","0","1","1","1","0","1","0","1","1","1","0","1","0"
"Image52","0","1","1","0","1","0","0","0","1","0","1","1","0","1","1","1","0","1","1","1","0","0","1","0","1","1","1","0","0","1","0","0","0","1","0","0","1","0","0","1","1","0","0","1","1","0","1","0","0","0","0","1","0","0","1","1","1","1","1","0","1","0","0","1","0","1","0","0","1","1","0","1","1","0","1","0","1","1","0","0","1","1","1","0","0","0","1","0","1","0","1","1","1","0","1","0","1","1","0","0"
"Image53","0","1","0","0","1","0","0","1","0","0","1","0","1","1","1","1","1","0","0","1","0","0","1","1","0","0","1","0","0","0","1","0","1","0","1","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1","0","1","0","1","0","1","1","1","0","0","1","0","0","0","1","1","0","1","1","0","1","1","1","0","0","1","0","0"
"Image54","0","1","1","1","0","0","1","1","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0","1","1","0","1","0","0","1","0","0","0","1","1","1","0","1","0","1","1","1","0","1","1","0","0","1","0","1","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","1","0","1","1","0","0","1","1","0","1","1","0","0","1","1","0","0","1","0","1","0","1","0","1","1","1","1","0","1","0","1","1"
"Image55","0","1","1","0","1","0","0","1","1","0","1","1","1","1","1","1","0","0","0","0","1","0","0","1","1","0","1","1","0","1","1","0","0","0","1","1","0","0","0","0","1","1","1","1","0","0","1","0","0","1","0","0","1","1","0","1","0","1","1","1","0","0","1","0","1","0","1","1","1","1","0","1","1","0","1","1","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","1","0","1","1","0","1","1","0","1"
"Image56","0","0","1","1","1","1","1","1","1","0","1","1","0","0","1","0","1","0","1","1","0","1","0","0","1","0","0","0","1","0","1","1","0","0","1","0","1","1","0","1","1","1","1","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1","0","0","1","1","0","1","1","0","0","0","1","0","0","0","1","1","1","1","1","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1","1","0"
"Image57","0","1","0","0","1","1","0","0","1","1","1","0","1","0","1","1","0","1","1","0","1","0","0","1","1","0","0","1","0","1","1","1","0","0","1","0","1","0","0","1","1","0","1","0","0","0","1","1","0","0","1","0","1","1","0","1","0","1","1","1","1","1","1","1","1","0","0","1","0","1","0","1","0","0","1","0","0","0","0","1","0","1","1","1","1","0","0","0","0","0","0","1","1","1","1","0","0","1","0","1"
"Image58","0","1","1","0","1","0","0","1","1","1","1","0","0","1","1","0","1","1","1","0","0","0","1","1","0","0","1","1","1","0","1","1","1","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","1","0","0","1","0","1","0","0","1","1","0","0","0","1","1","0","1","1","1","1","1","0","1","0","0","0","1","1","0","1","1","0","0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","0","1","1","0","1"
"Image59","1","1","1","0","1","1","1","1","0","0","1","1","1","1","1","0","1","1","0","1","0","0","1","1","1","0","1","0","1","0","1","0","1","0","1","1","0","0","1","1","0","1","1","1","0","0","0","1","0","0","0","1","1","1","0","1","1","1","0","1","1","0","1","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0","0","1","1","1","1","0","1","1","0","0","0","0","0","1","1","0","1","1","0","0","0","1"
"Image60","0","0","1","1","1","0","0","0","0","1","1","1","0","1","1","1","0","0","0","0","1","0","0","0","1","0","0","0","1","1","1","1","1","0","0","0","0","1","1","1","0","1","0","1","0","1","1","1","0","1","0","1","0","0","0","0","0","1","0","0","1","1","0","0","1","0","1","0","1","1","1","1","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","1","1","0","1","1","1","0","1"
"Image61","1","1","1","0","1","0","0","0","0","1","1","1","0","1","1","0","1","1","0","0","0","1","1","1","1","0","0","0","1","0","1","0","0","1","0","1","0","0","0","1","0","0","1","1","1","1","1","0","0","1","0","1","1","0","1","1","0","1","0","0","0","1","1","0","0","0","0","1","0","0","1","0","1","0","1","0","1","1","1","0","1","1","0","0","0","1","0","0","1","0","1","1","1","1","0","1","1","0","0","1"
"Image62","0","1","0","1","0","0","1","1","0","1","1","0","0","1","0","1","0","0","0","0","1","1","0","1","0","1","1","0","1","1","1","0","0","0","1","0","0","0","0","1","0","0","1","1","0","1","0","0","1","0","1","1","1","0","1","1","1","1","1","0","0","0","0","0","1","1","1","0","0","0","1","0","0","0","1","0","1","1","1","1","0","1","0","0","0","1","1","1","1","0","0","1","1","0","1","1","0","0","1","1"
"Image63","0","0","0","0","0","0","1","1","1","0","1","1","0","0","1","1","1","0","0","0","0","1","0","0","1","0","1","1","1","1","1","1","1","0","0","1","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","1","0","1","0","0","0","0","1","1","1","0","1","0","1","1","1","0","1","1","1","0","1","0","0","1","1","0","1","0","0","1","1","1","1","1","1","0","0","0","0","1","0"
"Image64","1","0","0","1","0","1","1","0","1","0","1","0","1","1","1","1","1","1","0","0","0","1","0","1","1","0","1","1","1","1","1","1","0","0","1","1","0","0","0","1","0","0","0","0","1","1","1","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","1","0","1","1","0","0","1","0","1","1","1","0","1","0","0","0","1","1","1","0","1","0","0","1","1","1","0","1","1","0","0","1","0"
